"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
179,44.2778,0.941176471,14.02623733,41.1778,0.941176471,13.462592,37.6813333333333,12.1198773333333,0.8533,42.0723333333333,11.1527226666667,0.8429
180,43.8876,0.933333333,12.27704533,41.4222,0.933333333,12.18894133,37.338,15.821224,0.9282,44.793,14.6192933333333,0.9305
181,44.5556,0.970238095,12.08434933,40.3077,0.970238095,11.64855467,37.3996666666667,14.3010026666667,0.9305,45.7556666666667,14.61968,0.9305
182,44.0769,0.975,12.47722667,38.2697,0.975,12.96373333,38.0186666666667,11.8137866666667,0.9398,44.53,12.8709546666667,0.9369
183,44.3333,0.962121212,13.33,40.6111,0.962121212,13.15082933,38.828,12.6787146666667,0.9628,43.8283333333333,12.5876533333333,0.9644
184,44.4494,0.88209607,13.50645867,40.3146,0.88209607,15.28468267,36.916,12.58368,0.9759,43.7776666666667,12.400232,0.9752
185,46.5667,0.805755396,16.500152,42.1667,0.805755396,13.75710133,36.9873333333333,13.3532693333333,0.9621,43.9266666666667,13.3627093333333,0.9645
186,44.3889,0.923076923,14.04681867,40.0889,0.923076923,15.13015733,37.3453333333333,13.6744506666667,0.9099,44.271,13.55296,0.9067
187,45.5667,0.932038835,14.962768,42.4607,0.932038835,14.23496533,38.103,17.2941626666667,0.7755,46.489,15.7331386666667,0.7755
188,44.0225,0.934782609,13.69937867,40.9111,0.934782609,13.89233333,37.2776666666667,13.631032,0.9286,46.315,15.097568,0.927
189,43.9444,0.911564626,13.46116267,40.4945,0.911564626,13.035464,37.815,15.4595333333333,0.927,45.4333333333333,14.7664133333333,0.9281
190,43.5055,0.908450704,12.516992,40.2222,0.908450704,11.56820533,37.328,13.9575946666667,0.9351,45.4146666666667,14.466976,0.9351
191,43.0667,0.85106383,10.80108533,39.3483,0.85106383,12.16717067,37.3,13.2706026666667,0.9116,44.2996666666667,13.4731706666667,0.9116
192,43.4286,0.910638298,12.029704,39.1333,0.910638298,11.332312,36.862,12.215576,0.9116,43.554,12.7527333333333,0.9116
