"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
127,46.6,0.85535248,13.803384,52.9425,0.878757515,12.965496,38.0666666666667,12.8092,0.8814,71.8666666666667,12.7976906666667,0.8814,13791.79664,33,0.878867834
128,47.0667,0.865060241,13.839808,57.1183,0.874853801,14.19220533,37.994,13.6020373333333,0.9168,71.6666666666667,12.7093866666667,0.9177,13791.79664,33,0.878867834
129,47,0.864898211,13.66818667,54.4157,0.888358209,12.95094667,37.712,13.0386586666667,0.9083,71.3,12.6666986666667,0.9052,13791.79664,33,0.878867834
130,46.9444,0.845002992,13.72381867,51.9444,0.846420323,12.61223467,38.1,12.77388,0.91,72.4,12.8638453333333,0.9148,13556.38232,33,0.882860386
131,49.7333,0.888231816,14.631504,52.2778,0.888382688,12.77414133,38.6666666666667,12.977488,0.9065,73.4,13.082256,0.9085,13556.38232,33,0.882860386
132,46.3778,0.844267727,13.50581867,51.0111,0.880606444,12.80666933,39.2,13.514616,0.9164,77.2576666666667,14.19288,0.9104,13556.38232,33,0.882860386
133,46.5778,0.866152768,13.689432,53.4,0.886639676,12.60325067,39.6666666666667,14.340968,0.8897,79.3606666666667,14.2856266666667,0.8873,13556.38232,33,0.882860386
134,46.8333,0.852525253,13.865152,50.6111,0.8828125,12.545824,37.6,12.569576,0.9116,70.5666666666667,12.5226266666667,0.9225,13556.38232,33,0.882860386
135,47.3,0.846446701,13.870096,52.6444,0.910216718,12.45421867,37.5,12.517088,0.9102,71.0546666666667,13.006088,0.9031,13570.85936,33,0.898116109
136,46.6222,0.880886427,13.60294667,52.4111,0.916275955,12.27407733,38.2333333333333,12.75996,0.9313,71.6666666666667,12.7621786666667,0.9313,13570.85936,33,0.898116109
137,46.4667,0.858099063,13.56171733,54.4444,0.867875648,12.89216533,38.1333333333333,12.766616,0.9098,71.7666666666667,12.7571146666667,0.9098,13570.85936,33,0.898116109
138,46.7,0.817039106,13.40952267,54.1222,0.861863847,12.57862133,38.5546666666667,13.5545146666667,0.9374,71.2333333333333,12.6605573333333,0.9328,13570.85936,33,0.898116109
139,46.2889,0.837662338,13.160008,53.1444,0.89059501,12.51006667,37.712,12.9319413333333,0.8876,70.8333333333333,12.5172613333333,0.901,13570.85936,33,0.898116109
140,46.0556,0.856562923,13.45065333,51.7333,0.857877814,12.16101333,37.7,12.527592,0.9194,71.3,12.478744,0.912,13776.42104,33,0.895171702
141,48.8571,0.852830189,14.302464,52.0111,0.873873874,12.10941867,37.8333333333333,12.298072,0.8919,69.9213333333333,12.72088,0.8898,13776.42104,33,0.895171702
142,45.7,0.84496124,12.875496,52.7778,0.895799236,12.17409867,37.0666666666667,12.280776,0.9181,72.4483333333333,13.1003413333333,0.9249,13776.42104,33,0.895171702
143,45.8667,0.806004619,13.05337867,52.2778,0.893271462,12.34072533,38.3,13.601672,0.9141,75.4,13.1056693333333,0.9154,13776.42104,33,0.895171702
144,45.9778,0.831139096,12.90547733,53.5682,0.885361552,12.00474133,36.9333333333333,12.119776,0.9282,68.794,12.5542533333333,0.9226,13776.42104,33,0.895171702
145,46.2,0.826285714,13.07730667,50.8444,0.883131837,12.372312,37.6,12.2082,0.9164,68.9,12.1488853333333,0.9164,13580.66384,33,0.896909649
146,46.1556,0.85884455,13.20469067,51.7143,0.910938434,13.04891467,36.8666666666667,12.030256,0.9214,68.6333333333333,12.0752853333333,0.9214,13580.66384,33,0.896909649
147,46.3667,0.850718301,13.395792,51.8111,0.878655881,12.47854933,37.2666666666667,12.165344,0.9138,69.1333333333333,12.2013066666667,0.9138,13580.66384,33,0.896909649
148,45.8876,0.806671721,12.994312,53.6778,0.848351648,12.25117333,36.9693333333333,13.480008,0.9155,69.4333333333333,12.327208,0.9085,13580.66384,33,0.896909649
149,47.2198,0.865177833,13.69859733,52.7,0.859594384,12.093672,37.3333333333333,12.432136,0.9288,69.8,12.41284,0.9336,13580.66384,33,0.896909649
150,45.9773,0.87431694,12.160912,52.5111,0.885159011,11.53794133,37.6333333333333,12.345312,0.8815,70.2666666666667,12.4923306666667,0.8838,12353.69528,33,0.87872122
151,48.4891,0.893280632,13.84094933,51.0879,0.91048202,11.77051467,38.3333333333333,12.889152,0.9241,70.791,12.961168,0.9238,12353.69528,33,0.87872122
152,45.5114,0.846921797,12.20309067,50.4333,0.882123341,12.07436,37,12.072896,0.8827,70.3096666666667,12.394456,0.8822,12353.69528,33,0.87872122
153,45.4565,0.848920863,11.89002133,50.8556,0.853195164,12.18601067,38,11.559808,0.921,71.3,12.1707893333333,0.9227,12353.69528,33,0.87872122
154,44.9778,0.898431049,11.28758133,51.2921,0.934306569,11.994064,36.5,12.211672,0.9213,67.6333333333333,11.9433173333333,0.9213,12353.69528,33,0.87872122
155,44.0568,0.858784893,10.91731467,50.3736,0.851098454,11.852488,35.4243333333333,12.632424,0.8736,65.6666666666667,11.469296,0.8738,12771.34392,33,0.900651194
156,45.022,0.877850163,11.25550667,49.4333,0.88503937,11.36600533,36.7333333333333,11.56576,0.934,67.5333333333333,11.8089893333333,0.9306,12771.34392,33,0.900651194
157,44.8427,0.873239437,10.879448,51.7889,0.88923802,11.87286133,36.5666666666667,12.210624,0.9194,69,12.221968,0.9212,12771.34392,33,0.900651194
158,45.4,0.899653979,11.29810133,52.0333,0.906144497,11.92968,36.8,12.18284,0.8753,68.812,12.5458453333333,0.8665,12771.34392,33,0.900651194
159,45.0333,0.882468812,11.563,52.0222,0.900831734,12.02553867,36.3666666666667,12.094136,0.9231,68.5183333333333,12.462576,0.9298,12771.34392,33,0.900651194
160,46.3483,0.854689564,11.75765867,51.3596,0.897160883,11.72175733,36.4666666666667,12.036088,0.9497,66.9,11.7127173333333,0.9462,13579.43872,33,0.903089888
